"obj_num","name_1","name_2","preset_amt_1","preset_amt_2","preset_amt_3","preset_amt_4","preset_amt_5","preset_amt_6","preset_amt_7","preset_amt_8","preset_amt_9","preset_amt_10","slu_priority","mi_slu_name_1","mi_slu_name_2","mi_slu_name_3","mi_slu_name_4","mi_slu_name_5","mi_slu_name_6","mi_slu_name_7","mi_slu_name_8","mlvl_class_name","prn_def_class_name","class_def_name","maj_grp_name","fam_grp_name","mi_grp_name","cond_grp_mem_name","cond_req_name","cond_allowed_name","nlu_grp","nlu_num","key_num","cost_1","cost_2","cost_3","cost_4","cost_5","cost_6","cost_7","cost_8","cost_9","cost_10"
"221","FRIES","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","LUNCH SIDE","","","","","","","","","","","","","","",""
"222","ASIAN SLAW","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","LUNCH SIDE","","","","","","","","","","","","","","",""
"223","SKIP","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","LUNCH SIDE","","","","","","","","","","","","","","",""
"224","CAESAR","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","LUNCH SIDE","","","","","","","","","","","","","","",""
"225","DRSNG POPPY","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","LUNCH SIDE","","","","","","","","","","","","","","",""
"226","DRSNG BUTTRMLK","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","LUNCH SIDE","","","","","","","","","","","","","","",""
"227","FRIED POTS","FRIED POTS","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","","","","","","","","","","","","","","","",""
"228","FRIES","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","7 LUNCH SIDE","","","","","","","","","","","","","","",""
"229","ASIAN SLAW","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","7 LUNCH SIDE","","","","","","","","","","","","","","",""
"230","DRSNG HOUSE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","7 LUNCH SIDE","","","","","","","","","","","","","","",""
"231","DRSNG POPPY","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","7 LUNCH SIDE","","","","","","","","","","","","","","",""
"232","DRSNG BUTTRMLK","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","7 LUNCH SIDE","","","","","","","","","","","","","","",""
"233","SOUP","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","7 LUNCH SIDE","","","","","","","","","","","","","","",""
"234","BISQUE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","7 LUNCH SIDE","","","","","","","","","","","","","","",""
"235","!TYPE INSTRUCT!","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","LUNCH/DINNER FOOD","","","","","","","","","","","","","","",""
